"searchtext", "expectedresult"
#STANDARD ADDRESS SEARCHES#
	"Danson Lake","DANSON LAKE, DANSON PARK, DANSON ROAD, BEXLEYHEATH, DA6 8HL"
	"Battersea Dogs Home","BATTERSEA DOGS HOME 4 BATTERSEA PARK ROAD""
	"Bromley Common, Bromley", "BROMLEY COMMON, BROMLEY COMMON"
	"Marble Arch", "MARBLE ARCH"
#PUBS#
	"Ye Olde Black Horse, Sidcup", "YE OLDE BLACK HORSE"
	"The Amersham Arms", "THE AMERSHAM ARMS, 388, NEW CROSS ROAD, LONDON, NEW CROSS"
	"The Goose, Catford", "THE GOOSE AND GRANITE, 88, RUSHEY GREEN, LONDON, SE6 4HW"
	"Queens Head PH", "QUEENS HEAD PUBLIC HOUSE"
#SCHOOLS, CHURCHES#
	"Blackfen Girls School, Sidcup", "BLACKFEN SCHOOL FOR GIRLS, BLACKFEN ROAD, SIDCUP"
	"St Michaels School, Southfields", "ST MICHAELS SCHOOL, GRANVILLE ROAD"
	"St Michaels Church, Southfields", "ST MICHAEL AND ALL ANGELS' CHURCH"
	"St Patricks Church, Soho", "ST. PATRICKS CATHOLIC CHURCH, 21A, SOHO SQUARE"
#SHOPS#
	"Peacocks, Eltham", "PEACOCKS, UNIT 2 145-159, ELTHAM HIGH STREET"
	"Natwest, High Street, Hounslow", "NATWEST, 160 HIGH STREET, HOUNSLOW"
	"Esporta Fitness Centre, NW3", "ESPORTA HEALTH & FITNESS, O2 CENTRE, 255 FINCHLEY ROAD"
	"Marks and Spencer, W5", "MARKS AND SPENCER EALING BROADWAY CENTRE"
	"Tescos, Sidcup", "TESCO SIDCUP, EDGINGTON WAY, SIDCUP"
	"Intu, Bromley", "INTU BROMLEY"
#BUS STOPS#
"bus stop Crescent Road sidcup","BUS STOP 229 CRESCENT ROAD SIDCUP"
#DOCTORS, DENTIST
	"Movers Lane Doctors Surgery, Barking", "DOCTORS SURGERY, 12 MOVERS LANE, BARKING"
#STATIONS ETC
	"New X Bus Garage", "NEW CROSS BUS GARAGE, SE14, NEW CROSS"
	"Victoria Bus Station",VICTORIA BUS STATION, SW1V, PIMLICO"
	"Bromley By Bow Station","BROMLEY BY BOW STATION ST. LEONARDS STREET"
#OTHER NON ADDRESSED LOCATIONS#
	"West India Quay", "WEST INDIA QUAY"
	"Fleetfoot Farm, Crockenhill", "FLEETFOOT FARM, STONES CROSS ROAD, CROCKENHILL"
	"CHURCH OF ST PAUL'S NORBURY","CHURCH, ST PAULS ROAD, THORNTON HEATH"
#STREET RECORDS#
	"Boundary road, Sidcup","BOUNDARY ROAD SIDCUP DA15"
	"Crown Lane, Bromley, "CROWN LANE, BROMLEY COMMON"
	"Old Kent Road", "OLD KENT ROAD, PECKHAM"
	"Garratt Lane", "GARRATT LANE, WANDSWORTH"
	"Crown Lane Spur, Bromley", "CROWN LANE SPUR, BROMLEY"
#JUNCTION#
	"JCT HIGH BEECHES CHELSFIELD","HIGH BEECHES / WINDSOR DRIVE, CHELSFIELD"
	"HIGH BEECHES / CHELSFIELD","HIGH BEECHES / WINDSOR DRIVE, CHELSFIELD"
	"high beeches/windsor","HIGH BEECHES / WINDSOR DRIVE CHELSFIELD"
#NAMED JUNCTION#
	"Hanger Lane Gyratory", "HANGER LANE GYRATORY (W5), W5, EALING"
	"St Giles Circus", "ST GILES CIRCUS, LONDON, WC1A 1DD"
	"Goresbrook Interchange", "GORESBROOK INTERCHANGE, RIPPLE ROAD, DAGENHAM"
	"Hammersmith Flyover", "A4 HAMMERSMITH FLYOVER / A4 HAMMERSMITH FLYOVER, HAMMERSMITH"
#ROUNDABOUTS#
	"Charlie Browns Rbt", "CHARLIE BROWNS ROUNDABOUT, IG8, WOODFORD GREEN"
	"Sun in Sands Rbt", "SUN IN SANDS ROUNDABOUT, SHOOTERS HILL ROAD, BLACKHEATH"
	"Hogarth Rbt, W4", "HOGARTH ROUNDABOUT, W4, BARNES"
#BRIDGES#
	"Hungerford Bridge", "HUNGERFORD BRIDGE STRAND"
	"Blackfriars Bridge", "BLACKFRIARS BRIDGE LONDON EC4V"
#ROADS#
	"A103", "A103"
	"SOUTH CIRCULAR","SOUTH CIRCULAR ROAD"
	"A2 NEW CROSS","A2 NEW CROSS ROAD"
		#CURRENTLY FAILING
			"SOUTH CIRCULAR FOREST HILL","SOUTH CIRCULAR FOREST HILL"
#NEARBY
	"WAGAMAMA @ JOHN LEWIS @ HENDON","WAGAMAMA, UNIT S5, BRENT CROSS SHOPPING CENTRE, PRINCE CHARLES DRIVE, HENDON, LONDON, NW4 3FZ"
	"TESCO @ UNION ST @ SOUTHWARK","TESCO EXPRESS, 15, GREAT SUFFOLK STREET"
	"TESCO @200 UNION ST @ SOUTHWARK","TESCO EXPRESS, 15, GREAT SUFFOLK STREET"
	"TESCO @ UNION ST @ SOUTHWARK","TESCO EXPRESS, 15, GREAT SUFFOLK STREET"
	#this designed to return nothing as distance actually 145m
	"TESCO @100 UNION ST @ SOUTHWARK",""
#COORDINATES#
	"51.598943,-0.238190", "ROYAL AIR FORCE MUSEUM"
#WILDCARD
	"Boundary *, Sidcup", "2, BOUNDARY ROAD, SIDCUP, DA15 8ST"
	"Burnt * Lane, Sidcup", "BURNT OAK LANE, SIDCUP"
